SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,LIST_PRICE
"In accordance with local MLS rules, some MLS listings are not included in the download",,,,,,,,,,,,,,,,,,,,,,,,,,,
PAST SALE,,Condo/Co-op,55 Littleton Rd Unit 13C,Ayer,MA,1432.0,370000.0,2.0,1.5,,1076.0,,1994.0,,344.0,,,,,https://www.redfin.com/MA/Ayer/55-Littleton-Rd-01432/unit-13C/home/11375148,,,N,Y,42.547252,-71.5613825,
PAST SALE,January-29-2025,Single Family Residential,17 Jacob Gates Rd,Harvard,MA,1451.0,715000.0,3.0,2.0,South Harvard,1477.0,130680.0,1978.0,,484.0,,Sold,,,https://www.redfin.com/MA/Harvard/17-Jacob-Gates-Rd-01451/home/14815265,MLS PIN,73297261.0,N,Y,42.473261,-71.5675039,
PAST SALE,December-31-2024,Single Family Residential,12 West Bare Hill Rd,Harvard,MA,1451.0,875000.0,4.0,2.5,Harvard,2846.0,87120.0,1976.0,,307.0,,Sold,,,https://www.redfin.com/MA/Harvard/12-W-Bare-Hill-Rd-01451/home/14815336,MLS PIN,73268921.0,N,Y,42.4788792,-71.58795,
PAST SALE,June-2-2025,Single Family Residential,324 Still River Rd,Harvard,MA,1451.0,1890000.0,4.0,2.5,Harvard,4288.0,422532.0,1997.0,,441.0,,Sold,,,https://www.redfin.com/MA/Harvard/324-Still-River-Rd-01451/home/14815107,MLS PIN,73301169.0,N,Y,42.4769594,-71.6231831,
PAST SALE,November-15-2024,Single Family Residential,122-120 West Bare Hl,Harvard,MA,1451.0,1180000.0,5.0,2.5,Harvard,3798.0,65340.0,1840.0,,311.0,,Sold,,,https://www.redfin.com/MA/Harvard/122-W-Bare-Hill-Rd-01451/home/14814781,MLS PIN,73254777.0,N,Y,42.4757476,-71.6077923,
PAST SALE,September-19-2024,Single Family Residential,56 Old Littleton Rd,Harvard,MA,1451.0,835000.0,4.0,2.5,Harvard,2589.0,69260.0,1985.0,,323.0,,Sold,,,https://www.redfin.com/MA/Harvard/56-Old-Littleton-Rd-01451/home/14815780,MLS PIN,73223838.0,N,Y,42.5018497,-71.574134,
PAST SALE,November-18-2024,Single Family Residential,190 E Bare Hill Rd,Harvard,MA,1451.0,800000.0,4.0,2.0,Harvard,2400.0,65340.0,1976.0,,333.0,,Sold,,,https://www.redfin.com/MA/Harvard/190-E-Bare-Hill-Rd-01451/home/14815243,MLS PIN,73220187.0,N,Y,42.4636536,-71.5966196,
PAST SALE,September-27-2024,Single Family Residential,40 Woodchuck Hill Rd,Harvard,MA,1451.0,610000.0,3.0,1.0,Harvard,1312.0,34848.0,1957.0,,465.0,,Sold,,,https://www.redfin.com/MA/Harvard/40-Woodchuck-Hill-Rd-01451/home/14815123,MLS PIN,73199001.0,N,Y,42.4948934,-71.5681994,
"In accordance with local MLS rules, some MLS listings are not included in the download",,,,,,,,,,,,,,,,,,,,,,,,,,,
PAST SALE,June-20-2025,Single Family Residential,4 Willow Rd,Harvard,MA,1451.0,1215000.0,4.0,3.5,Harvard,3502.0,43996.0,1993.0,,347.0,,Sold,,,https://www.redfin.com/MA/Harvard/4-Willow-Rd-01451/home/14815608,MLS PIN,73363438.0,N,Y,42.4998319,-71.5918212,
PAST SALE,September-23-2024,Townhouse,55 Littleton Rd Unit 22A,Ayer,MA,1432.0,361000.0,2.0,1.5,Ayer,1106.0,,1988.0,,326.0,360.0,Sold,,,https://www.redfin.com/MA/Ayer/55-Littleton-Rd-01432/unit-22A/home/11375267,MLS PIN,73254341.0,N,Y,42.547252,-71.5613825,
PAST SALE,June-10-2025,Single Family Residential,17 Candleberry Ln,Harvard,MA,1451.0,1349000.0,4.0,3.5,Harvard,4414.0,122839.0,1987.0,,306.0,,Sold,,,https://www.redfin.com/MA/Harvard/17-Candleberry-Ln-01451/home/14814733,MLS PIN,73366548.0,N,Y,42.4714247,-71.6112692,
PAST SALE,November-14-2024,Single Family Residential,43 West Bare Hill Rd,Harvard,MA,1451.0,1000000.0,4.0,2.0,Harvard,2414.0,87556.0,1935.0,,414.0,,Sold,,,https://www.redfin.com/MA/Harvard/43-W-Bare-Hill-Rd-01451/home/14814822,MLS PIN,73297644.0,N,Y,42.4776929,-71.593328,
PAST SALE,June-30-2025,Single Family Residential,16A South Shaker,Harvard,MA,1451.0,1200000.0,4.0,4.0,Harvard,4000.0,370696.0,1997.0,,300.0,,Sold,,,https://www.redfin.com/MA/Harvard/16-A-S-Shaker-Rd-01451/home/171223460,MLS PIN,73353920.0,N,Y,42.530736,-71.573026,
PAST SALE,September-6-2024,Single Family Residential,69 Myrick Ln,Harvard,MA,1451.0,857000.0,4.0,2.5,Harvard,2646.0,66211.0,1976.0,,324.0,,Sold,,,https://www.redfin.com/MA/Harvard/69-Myrick-Ln-01451/home/14816313,MLS PIN,73267264.0,N,Y,42.5442069,-71.5619865,
PAST SALE,March-31-2025,Single Family Residential,46 Warren Ave,Harvard,MA,1451.0,1550000.0,4.0,3.0,Harvard,3000.0,435600.0,1981.0,,517.0,,Sold,,,https://www.redfin.com/MA/Harvard/46-Warren-Ave-01451/home/18444190,MLS PIN,73333325.0,N,Y,42.4907648,-71.5902681,
PAST SALE,April-16-2025,Single Family Residential,125 West Bare Hill Rd,Harvard,MA,1451.0,1170000.0,4.0,2.5,Harvard,2628.0,157687.0,1980.0,,445.0,,Sold,,,https://www.redfin.com/MA/Harvard/125-W-Bare-Hill-Rd-01451/home/14814745,MLS PIN,73342084.0,N,Y,42.4740265,-71.6079314,
PAST SALE,December-6-2024,Single Family Residential,32 Mettacomett Path,Harvard,MA,1451.0,1185000.0,5.0,3.0,Harvard,4325.0,1439657.0,1979.0,,274.0,,Sold,,,https://www.redfin.com/MA/Harvard/32-Mettacomet-Path-01451/home/85674150,MLS PIN,73313222.0,N,Y,42.4719505,-71.5757722,
PAST SALE,June-20-2025,Single Family Residential,37 Blanchard Rd,Harvard,MA,1451.0,500000.0,2.0,1.0,Harvard,1118.0,65340.0,1971.0,,447.0,,Sold,,,https://www.redfin.com/MA/Harvard/37-Blanchard-Rd-01451/home/14815937,MLS PIN,73368673.0,N,Y,42.5305296,-71.5923544,
PAST SALE,November-20-2024,Single Family Residential,4 Tahanto Trl,Harvard,MA,1451.0,825000.0,3.0,2.0,Harvard,2615.0,74488.0,1975.0,,315.0,,Sold,,,https://www.redfin.com/MA/Harvard/4-Tahanto-Trl-01451/home/14815577,MLS PIN,73300852.0,N,Y,42.4893835,-71.5887614,
PAST SALE,May-12-2025,Single Family Residential,75 Westcott Rd,Harvard,MA,1451.0,1150000.0,5.0,4.0,Harvard,3614.0,210830.0,1972.0,,318.0,,Sold,,,https://www.redfin.com/MA/Harvard/75-Westcott-Rd-01451/home/14814816,MLS PIN,73354402.0,N,Y,42.4771918,-71.5683848,
PAST SALE,October-18-2024,Single Family Residential,72 Finn Rd,Harvard,MA,1451.0,1300000.0,5.0,3.5,Harvard,4100.0,87120.0,1994.0,,317.0,,Sold,,,https://www.redfin.com/MA/Harvard/72-Finn-Rd-01451/home/14814635,MLS PIN,73288783.0,N,Y,42.4580479,-71.5480766,
PAST SALE,July-18-2024,Single Family Residential,199 Bolton Rd,Harvard,MA,1451.0,1757000.0,4.0,4.5,Harvard,6169.0,385506.0,1987.0,,285.0,,Sold,,,https://www.redfin.com/MA/Harvard/199-Bolton-Rd-01451/home/14815051,MLS PIN,73245145.0,N,Y,42.4702119,-71.5907317,
PAST SALE,March-31-2025,Single Family Residential,15 Abbot Ln,Harvard,MA,1451.0,1060000.0,4.0,2.5,Harvard,3274.0,273994.0,1976.0,,324.0,,Sold,,,https://www.redfin.com/MA/Harvard/15-Abbot-Ln-01451/home/14815245,MLS PIN,73338787.0,N,Y,42.465046,-71.5960632,
PAST SALE,April-4-2025,Single Family Residential,15 Still River Depot Rd,Harvard,MA,1451.0,1400000.0,4.0,3.0,Harvard,4357.0,89298.0,1987.0,,321.0,,Sold,,,https://www.redfin.com/MA/Harvard/15-Still-River-Depot-Rd-01451/home/23474804,MLS PIN,73345322.0,N,Y,42.4912834,-71.6228424,
PAST SALE,June-12-2025,Single Family Residential,99 Depot Rd,Harvard,MA,1451.0,755000.0,3.0,2.0,Harvard,1638.0,169012.0,1969.0,,461.0,,Sold,,,https://www.redfin.com/MA/Harvard/99-Depot-Rd-01451/home/14815893,MLS PIN,73364724.0,N,Y,42.5152805,-71.5967587,
PAST SALE,June-18-2025,Townhouse,6 Bates St Unit C,Devens,MA,1434.0,425000.0,2.0,1.5,Devens,1344.0,,2012.0,,316.0,380.0,Sold,,,https://www.redfin.com/MA/Devens/6-Bates-St-01434/unit-C/home/44580164,MLS PIN,73361785.0,N,Y,42.5444237,-71.6041763,
PAST SALE,April-29-2025,Townhouse,27 Elm Rd Unit D,Devens,MA,1434.0,510000.0,4.0,3.5,Devens,2320.0,,1931.0,,220.0,484.0,Sold,,,https://www.redfin.com/MA/Devens/27-Elm-Rd-01434/unit-D/home/167100193,MLS PIN,73347791.0,N,Y,42.5434921,-71.6123123,
PAST SALE,December-19-2024,Single Family Residential,60 Bolton Rd,Harvard,MA,1451.0,945000.0,3.0,2.5,Harvard,2838.0,71874.0,1954.0,,333.0,,Sold,,,https://www.redfin.com/MA/Harvard/60-Bolton-Rd-01451/home/14815594,MLS PIN,73310827.0,N,Y,42.4875255,-71.5843802,
PAST SALE,May-22-2025,Single Family Residential,109 East Bare Hill Rd,Harvard,MA,1451.0,1130000.0,3.0,3.5,Harvard,2856.0,171190.0,1980.0,,396.0,,Sold,,,https://www.redfin.com/MA/Harvard/109-E-Bare-Hill-Rd-01451/home/14814978,MLS PIN,73352962.0,N,Y,42.4694808,-71.5822939,
PAST SALE,May-19-2025,Single Family Residential,232 Ayer Rd,Harvard,MA,1451.0,695000.0,3.0,2.0,Harvard,2160.0,37462.0,1956.0,,322.0,,Sold,,,https://www.redfin.com/MA/Harvard/232-Ayer-Rd-01451/home/14815922,MLS PIN,73352851.0,N,Y,42.5313477,-71.5766144,
PAST SALE,October-24-2024,Single Family Residential,43 Brown Rd,Harvard,MA,1451.0,850000.0,4.0,2.0,Harvard,2779.0,656014.0,1949.0,,306.0,,Sold,,,https://www.redfin.com/MA/Harvard/43-Brown-Rd-01451/home/14815239,MLS PIN,73292667.0,N,Y,42.4636882,-71.5804857,
PAST SALE,April-15-2025,Single Family Residential,12 Glenview Dr,Harvard,MA,1451.0,1230000.0,4.0,3.5,Harvard,3706.0,67082.0,2004.0,,332.0,,Sold,,,https://www.redfin.com/MA/Harvard/12-Glenview-Dr-01451/home/14816029,MLS PIN,73337388.0,N,Y,42.5345209,-71.5693816,
PAST SALE,May-5-2025,Single Family Residential,42 Walnut St,Devens,MA,1434.0,525000.0,3.0,1.5,Harvard Hills,1783.0,19149.0,1931.0,,294.0,84.0,Sold,,,https://www.redfin.com/MA/Devens/42-Walnut-St-01434/home/12468713,MLS PIN,73356627.0,N,Y,42.5438193,-71.616415,
PAST SALE,October-17-2024,Single Family Residential,25 Pingry Way,Ayer,MA,1432.0,860000.0,4.0,2.5,Bennett's Brook,2573.0,12196.0,2018.0,,334.0,,Sold,,,https://www.redfin.com/MA/Ayer/25-Pingry-Way-01432/home/76477107,MLS PIN,73284215.0,N,Y,42.5444453,-71.5458046,
PAST SALE,April-25-2025,Single Family Residential,54 Ayer Rd,Harvard,MA,1451.0,825000.0,4.0,2.5,Harvard,2184.0,43560.0,1966.0,,378.0,,Sold,,,https://www.redfin.com/MA/Harvard/54-Ayer-Rd-01451/home/14815643,MLS PIN,73344686.0,N,Y,42.5081467,-71.5841483,
PAST SALE,December-6-2024,Townhouse,55 Littleton Rd Unit 11B,Ayer,MA,1432.0,368000.0,2.0,1.5,Ayer,1080.0,,1994.0,,341.0,339.0,Sold,,,https://www.redfin.com/MA/Ayer/55-Littleton-Rd-01432/unit-11B/home/11375121,MLS PIN,73305614.0,N,Y,42.547252,-71.5613825,
PAST SALE,December-9-2024,Single Family Residential,115 Slough Rd,Harvard,MA,1451.0,798000.0,3.0,2.5,Harvard,2707.0,141134.0,1984.0,,295.0,,Sold,,,https://www.redfin.com/MA/Harvard/115-Slough-Rd-01451/home/14815296,MLS PIN,73302942.0,N,Y,42.4842261,-71.5796975,
PAST SALE,August-23-2024,Single Family Residential,3 Oak Hill Rd,Harvard,MA,1451.0,880250.0,4.0,3.0,Harvard,3129.0,15681.0,1700.0,,281.0,,Sold,,,https://www.redfin.com/MA/Harvard/3-Oak-Hill-Rd-01451/home/14815775,MLS PIN,73258315.0,N,Y,42.5003129,-71.5817311,
PAST SALE,May-1-2025,Single Family Residential,33 Craggs Rd,Harvard,MA,1451.0,775000.0,4.0,2.0,Harvard,1911.0,45738.0,1966.0,,406.0,,Sold,,,https://www.redfin.com/MA/Harvard/33-Craggs-Rd-01451/home/14815871,MLS PIN,73345578.0,N,Y,42.5166872,-71.5950665,
PAST SALE,July-19-2024,Single Family Residential,53 Park Ln,Harvard,MA,1451.0,857000.0,4.0,2.5,Harvard,2347.0,99752.0,1972.0,,365.0,,Sold,,,https://www.redfin.com/MA/Harvard/53-Park-Ln-01451/home/14815744,MLS PIN,73233758.0,N,Y,42.5165871,-71.5525742,
PAST SALE,June-25-2025,Single Family Residential,34 Mill Rd,Harvard,MA,1451.0,1265000.0,4.0,2.5,Harvard,3380.0,120226.0,2000.0,,374.0,,Sold,,,https://www.redfin.com/MA/Harvard/34-Mill-Rd-01451/home/14814547,MLS PIN,73367340.0,N,Y,42.5141521,-71.5863737,
PAST SALE,August-5-2024,Single Family Residential,204 Littleton County Rd,Harvard,MA,1451.0,925000.0,4.0,3.5,Harvard,3274.0,67953.0,2010.0,,283.0,,Sold,,,https://www.redfin.com/MA/Harvard/204-Littleton-County-Rd-01451/home/39554955,MLS PIN,73251128.0,N,Y,42.5103061,-71.5395449,
PAST SALE,September-6-2024,Single Family Residential,84 East Bare Hill Rd,Harvard,MA,1451.0,765000.0,3.0,3.0,Harvard,2450.0,133294.0,1963.0,,312.0,,Sold,,,https://www.redfin.com/MA/Harvard/84-E-Bare-Hill-Rd-01451/home/14815038,MLS PIN,73264274.0,N,Y,42.4726494,-71.5834993,
PAST SALE,October-16-2024,Single Family Residential,249 Massachusetts Ave,Harvard,MA,1451.0,580000.0,3.0,2.0,Harvard,1470.0,62291.0,1950.0,,395.0,,Sold,,,https://www.redfin.com/MA/Harvard/249-Massachusetts-Ave-01451/home/187192762,MLS PIN,73278841.0,N,Y,42.4894035,-71.5509768,
PAST SALE,May-30-2025,Single Family Residential,145 Littleton Rd,Harvard,MA,1451.0,825000.0,4.0,2.5,Harvard,3730.0,156816.0,1999.0,,221.0,,Sold,,,https://www.redfin.com/MA/Harvard/145-Littleton-Rd-01451/home/14815810,MLS PIN,73350253.0,N,Y,42.5139908,-71.5643974,
PAST SALE,November-26-2024,Vacant Land,Lot 2 Slough Rd,Harvard,MA,1451.0,365000.0,,,Harvard,,108028.0,,,,,Sold,,,https://www.redfin.com/MA/Harvard/2-Slough-Rd-01451/home/108298037,MLS PIN,73296712.0,N,Y,42.4977695,-71.5681356,
PAST SALE,May-29-2025,Single Family Residential,36 Bolton Rd,Harvard,MA,1451.0,1300000.0,4.0,3.5,Harvard,2916.0,76230.0,1785.0,,446.0,,Sold,,,https://www.redfin.com/MA/Harvard/36-Bolton-Rd-01451/home/14815588,MLS PIN,73349746.0,N,Y,42.4906182,-71.5828966,
PAST SALE,November-27-2024,Single Family Residential,72 Ayer Rd,Harvard,MA,1451.0,1150000.0,4.0,2.5,Harvard,2742.0,124146.0,1986.0,,419.0,,Sold,,,https://www.redfin.com/MA/Harvard/72-Ayer-Rd-01451/home/14815821,MLS PIN,73306000.0,N,Y,42.5100905,-71.5830125,
PAST SALE,November-7-2024,Single Family Residential,55 Prospect Hill Rd,Harvard,MA,1451.0,1250000.0,4.0,4.5,Harvard,3560.0,198634.0,1979.0,,351.0,,Sold,,,https://www.redfin.com/MA/Harvard/55-Prospect-Hill-Rd-01451/home/14815887,MLS PIN,73286365.0,N,Y,42.5124183,-71.6033186,
PAST SALE,October-30-2024,Single Family Residential,182 E Bare Hill Rd,Harvard,MA,1451.0,710000.0,4.0,2.0,Harvard,1952.0,46174.0,1962.0,,364.0,,Sold,,,https://www.redfin.com/MA/Harvard/182-E-Bare-Hill-Rd-01451/home/14814921,MLS PIN,73258288.0,N,Y,42.464199,-71.5952635,
PAST SALE,June-16-2025,Townhouse,35 Lancaster County Rd Unit 9C,Harvard,MA,1451.0,690000.0,2.0,2.5,Harvard,2667.0,,1998.0,,259.0,448.0,Sold,,,https://www.redfin.com/MA/Harvard/35-Lancaster-County-Rd-01451/unit-9C/home/14814578,MLS PIN,73351315.0,N,Y,42.5278284,-71.5814964,
PAST SALE,August-30-2024,Single Family Residential,140 S Shaker Rd,Harvard,MA,1451.0,825000.0,3.0,2.5,Shaker Village,2716.0,165528.0,1994.0,,304.0,,Sold,,,https://www.redfin.com/MA/Harvard/140-S-Shaker-Rd-01451/home/14816237,MLS PIN,73254767.0,N,Y,42.5305317,-71.5548461,
PAST SALE,January-3-2025,Single Family Residential,97 Old Mill Rd,Harvard,MA,1451.0,860000.0,3.0,2.0,Harvard,2591.0,65340.0,1971.0,,332.0,,Sold,,,https://www.redfin.com/MA/Harvard/97-Old-Mill-Rd-01451/home/14816094,MLS PIN,73288561.0,N,Y,42.5319256,-71.5927253,
PAST SALE,May-29-2025,Single Family Residential,67 Poor Farm Rd,Harvard,MA,1451.0,1300000.0,4.0,2.5,Harvard,3228.0,354578.0,1882.0,,403.0,,Sold,,,https://www.redfin.com/MA/Harvard/67-Poor-Farm-Rd-01451/home/14816261,MLS PIN,73337886.0,N,Y,42.5242331,-71.5684775,
PAST SALE,August-20-2024,Single Family Residential,31 Scott Rd,Harvard,MA,1451.0,1145000.0,4.0,3.5,Candleberry,4166.0,70132.0,1979.0,,275.0,,Sold,,,https://www.redfin.com/MA/Harvard/31-Scott-Rd-01451/home/14814735,MLS PIN,73251634.0,N,Y,42.4711442,-71.6142825,
PAST SALE,December-18-2024,Single Family Residential,211 Stow Rd,Harvard,MA,1451.0,785000.0,4.0,2.5,Harvard,2219.0,172933.0,1972.0,,354.0,,Sold,,,https://www.redfin.com/MA/Harvard/211-Stow-Rd-01451/home/14814963,MLS PIN,73292890.0,N,Y,42.4708636,-71.555078,
PAST SALE,December-6-2024,Single Family Residential,91 Warren Ave,Harvard,MA,1451.0,1028000.0,4.0,3.0,Harvard,3540.0,70132.0,1973.0,,290.0,,Sold,,,https://www.redfin.com/MA/Harvard/91-Warren-Ave-01451/home/14815356,MLS PIN,73278907.0,N,Y,42.484741,-71.5917517,
PAST SALE,August-13-2024,Single Family Residential,4 Poor Farm Rd,Harvard,MA,1451.0,990000.0,4.0,2.5,Harvard,2938.0,65340.0,1980.0,,337.0,,Sold,,,https://www.redfin.com/MA/Harvard/4-Poor-Farm-Rd-01451/home/14815799,MLS PIN,73224870.0,N,Y,42.5170293,-71.5617083,
PAST SALE,August-30-2024,Single Family Residential,60 Old Littleton Rd,Harvard,MA,1451.0,1900000.0,5.0,4.0,Harvard,4900.0,65340.0,2024.0,,388.0,,Sold,,,https://www.redfin.com/MA/Harvard/60-Old-Littleton-Rd-01451/home/85674082,MLS PIN,73246944.0,N,Y,42.502348,-71.573383,
PAST SALE,January-10-2025,Single Family Residential,129 Oak Hill Rd,Harvard,MA,1451.0,660000.0,5.0,2.5,Harvard,2344.0,217800.0,1830.0,,282.0,,Sold,,,https://www.redfin.com/MA/Harvard/129-Oak-Hill-Rd-01451/home/14815481,MLS PIN,73288559.0,N,Y,42.501059,-71.5589229,
PAST SALE,November-15-2024,Single Family Residential,17 E Bare Hill Rd,Harvard,MA,1451.0,600000.0,3.0,3.5,Harvard,3101.0,137649.0,1974.0,,193.0,,Sold,,,https://www.redfin.com/MA/Harvard/17-E-Bare-Hill-Rd-01451/home/14815292,MLS PIN,73277501.0,N,Y,42.4808811,-71.5812275,
PAST SALE,,Condo/Co-op,55 Littleton Rd Unit 13C,Ayer,MA,1432.0,370000.0,2.0,1.5,,1076.0,,1994.0,,344.0,,,,,https://www.redfin.com/MA/Ayer/55-Littleton-Rd-01432/unit-13C/home/11375148,,,N,Y,42.547252,-71.5613825,
PAST SALE,January-29-2025,Single Family Residential,17 Jacob Gates Rd,Harvard,MA,1451.0,715000.0,3.0,2.0,South Harvard,1477.0,130680.0,1978.0,,484.0,,Sold,,,https://www.redfin.com/MA/Harvard/17-Jacob-Gates-Rd-01451/home/14815265,MLS PIN,73297261.0,N,Y,42.473261,-71.5675039,
PAST SALE,December-31-2024,Single Family Residential,12 West Bare Hill Rd,Harvard,MA,1451.0,875000.0,4.0,2.5,Harvard,2846.0,87120.0,1976.0,,307.0,,Sold,,,https://www.redfin.com/MA/Harvard/12-W-Bare-Hill-Rd-01451/home/14815336,MLS PIN,73268921.0,N,Y,42.4788792,-71.58795,
PAST SALE,June-2-2025,Single Family Residential,324 Still River Rd,Harvard,MA,1451.0,1890000.0,4.0,2.5,Harvard,4288.0,422532.0,1997.0,,441.0,,Sold,,,https://www.redfin.com/MA/Harvard/324-Still-River-Rd-01451/home/14815107,MLS PIN,73301169.0,N,Y,42.4769594,-71.6231831,
PAST SALE,November-15-2024,Single Family Residential,122-120 West Bare Hl,Harvard,MA,1451.0,1180000.0,5.0,2.5,Harvard,3798.0,65340.0,1840.0,,311.0,,Sold,,,https://www.redfin.com/MA/Harvard/122-W-Bare-Hill-Rd-01451/home/14814781,MLS PIN,73254777.0,N,Y,42.4757476,-71.6077923,
PAST SALE,September-19-2024,Single Family Residential,56 Old Littleton Rd,Harvard,MA,1451.0,835000.0,4.0,2.5,Harvard,2589.0,69260.0,1985.0,,323.0,,Sold,,,https://www.redfin.com/MA/Harvard/56-Old-Littleton-Rd-01451/home/14815780,MLS PIN,73223838.0,N,Y,42.5018497,-71.574134,
PAST SALE,November-18-2024,Single Family Residential,190 E Bare Hill Rd,Harvard,MA,1451.0,800000.0,4.0,2.0,Harvard,2400.0,65340.0,1976.0,,333.0,,Sold,,,https://www.redfin.com/MA/Harvard/190-E-Bare-Hill-Rd-01451/home/14815243,MLS PIN,73220187.0,N,Y,42.4636536,-71.5966196,
PAST SALE,September-27-2024,Single Family Residential,40 Woodchuck Hill Rd,Harvard,MA,1451.0,610000.0,3.0,1.0,Harvard,1312.0,34848.0,1957.0,,465.0,,Sold,,,https://www.redfin.com/MA/Harvard/40-Woodchuck-Hill-Rd-01451/home/14815123,MLS PIN,73199001.0,N,Y,42.4948934,-71.5681994,
"In accordance with local MLS rules, some MLS listings are not included in the download",,,,,,,,,,,,,,,,,,,,,,,,,,,
PAST SALE,June-20-2025,Single Family Residential,4 Willow Rd,Harvard,MA,1451.0,1215000.0,4.0,3.5,Harvard,3502.0,43996.0,1993.0,,347.0,,Sold,,,https://www.redfin.com/MA/Harvard/4-Willow-Rd-01451/home/14815608,MLS PIN,73363438.0,N,Y,42.4998319,-71.5918212,
PAST SALE,September-23-2024,Townhouse,55 Littleton Rd Unit 22A,Ayer,MA,1432.0,361000.0,2.0,1.5,Ayer,1106.0,,1988.0,,326.0,360.0,Sold,,,https://www.redfin.com/MA/Ayer/55-Littleton-Rd-01432/unit-22A/home/11375267,MLS PIN,73254341.0,N,Y,42.547252,-71.5613825,
PAST SALE,June-10-2025,Single Family Residential,17 Candleberry Ln,Harvard,MA,1451.0,1349000.0,4.0,3.5,Harvard,4414.0,122839.0,1987.0,,306.0,,Sold,,,https://www.redfin.com/MA/Harvard/17-Candleberry-Ln-01451/home/14814733,MLS PIN,73366548.0,N,Y,42.4714247,-71.6112692,
PAST SALE,November-14-2024,Single Family Residential,43 West Bare Hill Rd,Harvard,MA,1451.0,1000000.0,4.0,2.0,Harvard,2414.0,87556.0,1935.0,,414.0,,Sold,,,https://www.redfin.com/MA/Harvard/43-W-Bare-Hill-Rd-01451/home/14814822,MLS PIN,73297644.0,N,Y,42.4776929,-71.593328,
PAST SALE,June-30-2025,Single Family Residential,16A South Shaker,Harvard,MA,1451.0,1200000.0,4.0,4.0,Harvard,4000.0,370696.0,1997.0,,300.0,,Sold,,,https://www.redfin.com/MA/Harvard/16-A-S-Shaker-Rd-01451/home/171223460,MLS PIN,73353920.0,N,Y,42.530736,-71.573026,
PAST SALE,September-6-2024,Single Family Residential,69 Myrick Ln,Harvard,MA,1451.0,857000.0,4.0,2.5,Harvard,2646.0,66211.0,1976.0,,324.0,,Sold,,,https://www.redfin.com/MA/Harvard/69-Myrick-Ln-01451/home/14816313,MLS PIN,73267264.0,N,Y,42.5442069,-71.5619865,
PAST SALE,March-31-2025,Single Family Residential,46 Warren Ave,Harvard,MA,1451.0,1550000.0,4.0,3.0,Harvard,3000.0,435600.0,1981.0,,517.0,,Sold,,,https://www.redfin.com/MA/Harvard/46-Warren-Ave-01451/home/18444190,MLS PIN,73333325.0,N,Y,42.4907648,-71.5902681,
PAST SALE,April-16-2025,Single Family Residential,125 West Bare Hill Rd,Harvard,MA,1451.0,1170000.0,4.0,2.5,Harvard,2628.0,157687.0,1980.0,,445.0,,Sold,,,https://www.redfin.com/MA/Harvard/125-W-Bare-Hill-Rd-01451/home/14814745,MLS PIN,73342084.0,N,Y,42.4740265,-71.6079314,
PAST SALE,December-6-2024,Single Family Residential,32 Mettacomett Path,Harvard,MA,1451.0,1185000.0,5.0,3.0,Harvard,4325.0,1439657.0,1979.0,,274.0,,Sold,,,https://www.redfin.com/MA/Harvard/32-Mettacomet-Path-01451/home/85674150,MLS PIN,73313222.0,N,Y,42.4719505,-71.5757722,
PAST SALE,June-20-2025,Single Family Residential,37 Blanchard Rd,Harvard,MA,1451.0,500000.0,2.0,1.0,Harvard,1118.0,65340.0,1971.0,,447.0,,Sold,,,https://www.redfin.com/MA/Harvard/37-Blanchard-Rd-01451/home/14815937,MLS PIN,73368673.0,N,Y,42.5305296,-71.5923544,
PAST SALE,November-20-2024,Single Family Residential,4 Tahanto Trl,Harvard,MA,1451.0,825000.0,3.0,2.0,Harvard,2615.0,74488.0,1975.0,,315.0,,Sold,,,https://www.redfin.com/MA/Harvard/4-Tahanto-Trl-01451/home/14815577,MLS PIN,73300852.0,N,Y,42.4893835,-71.5887614,
PAST SALE,May-12-2025,Single Family Residential,75 Westcott Rd,Harvard,MA,1451.0,1150000.0,5.0,4.0,Harvard,3614.0,210830.0,1972.0,,318.0,,Sold,,,https://www.redfin.com/MA/Harvard/75-Westcott-Rd-01451/home/14814816,MLS PIN,73354402.0,N,Y,42.4771918,-71.5683848,
PAST SALE,October-18-2024,Single Family Residential,72 Finn Rd,Harvard,MA,1451.0,1300000.0,5.0,3.5,Harvard,4100.0,87120.0,1994.0,,317.0,,Sold,,,https://www.redfin.com/MA/Harvard/72-Finn-Rd-01451/home/14814635,MLS PIN,73288783.0,N,Y,42.4580479,-71.5480766,
PAST SALE,July-18-2024,Single Family Residential,199 Bolton Rd,Harvard,MA,1451.0,1757000.0,4.0,4.5,Harvard,6169.0,385506.0,1987.0,,285.0,,Sold,,,https://www.redfin.com/MA/Harvard/199-Bolton-Rd-01451/home/14815051,MLS PIN,73245145.0,N,Y,42.4702119,-71.5907317,
